Month,Day,Year,Hour,Minute,Air Temperature [deg C],Count for Lifetime
1,1,2012,0,0,13.4197,0
1,1,2012,1,0,12.421,0
1,1,2012,2,0,11.9955,0
1,1,2012,3,0,11.2225,0
1,1,2012,4,0,11.0558,0
1,1,2012,5,0,11.1647,0
1,1,2012,6,0,10.4485,0
1,1,2012,7,0,9.7267,0
1,1,2012,8,0,11.0617,0
1,1,2012,9,0,13.6028,0
1,1,2012,10,0,15.4695,0
1,1,2012,11,0,18.4888,0
1,1,2012,12,0,21.7137,0
1,1,2012,13,0,24.3175,0
1,1,2012,14,0,25.831,0
1,1,2012,15,0,26.6943,0
1,1,2012,16,0,27.1078,0
1,1,2012,17,0,26.7523,0
1,1,2012,18,0,25.0107,0
1,1,2012,19,0,22.9848,0
1,1,2012,20,0,21.49,0
1,1,2012,21,0,21.047,0
1,1,2012,22,0,20.2437,0
1,1,2012,23,0,19.4632,0
1,2,2012,0,0,18.0407,1
1,2,2012,1,0,16.9343,1
1,2,2012,2,0,17.7843,1
1,2,2012,3,0,16.5697,1
1,2,2012,4,0,15.8442,1
1,2,2012,5,0,17.0647,1
1,2,2012,6,0,16.7225,1
1,2,2012,7,0,17.0315,1
1,2,2012,8,0,16.4887,1
1,2,2012,9,0,17.4817,1
1,2,2012,10,0,19.3303,1
1,2,2012,11,0,21.2448,1
1,2,2012,12,0,22.7018,1
1,2,2012,13,0,23.8847,1
1,2,2012,14,0,24.8635,1
1,2,2012,15,0,25.6193,1
1,2,2012,16,0,26.048,1
1,2,2012,17,0,25.7995,1
1,2,2012,18,0,24.0313,1
1,2,2012,19,0,22.2592,1
1,2,2012,20,0,20.4542,1
1,2,2012,21,0,19.4535,1
1,2,2012,22,0,18.638,1
1,2,2012,23,0,18.1607,1
1,3,2012,0,0,17.3627,1
1,3,2012,1,0,16.738,1
1,3,2012,2,0,15.8845,1
1,3,2012,3,0,15.2643,1
1,3,2012,4,0,14.8422,1
1,3,2012,5,0,14.6007,1
1,3,2012,6,0,14.4205,1
1,3,2012,7,0,14.3227,1
1,3,2012,8,0,14.3005,1
1,3,2012,9,0,15.2788,1
1,3,2012,10,0,17.2992,1
1,3,2012,11,0,18.6555,1
1,3,2012,12,0,20.1392,1
1,3,2012,13,0,21.2745,1
1,3,2012,14,0,22.1912,1
1,3,2012,15,0,22.5885,1
1,3,2012,16,0,23.6633,1
1,3,2012,17,0,24.5177,1
1,3,2012,18,0,22.4592,1
1,3,2012,19,0,19.6805,1
1,3,2012,20,0,17.6305,1
1,3,2012,21,0,16.5375,1
1,3,2012,22,0,16.2105,1
1,3,2012,23,0,15.167,1
1,4,2012,0,0,13.941,1
1,4,2012,1,0,13.2408,1
1,4,2012,2,0,12.2303,1
1,4,2012,3,0,12.3208,1
1,4,2012,4,0,11.9167,1
1,4,2012,5,0,11.7702,1
1,4,2012,6,0,11.1402,1
1,4,2012,7,0,11.3273,1
1,4,2012,8,0,11.1867,1
1,4,2012,9,0,11.6903,1
1,4,2012,10,0,14.666,1
1,4,2012,11,0,17.0625,1
1,4,2012,12,0,20.1242,1
1,4,2012,13,0,22.1615,1
1,4,2012,14,0,23.8797,1
1,4,2012,15,0,25.3625,1
1,4,2012,16,0,26.1303,1
1,4,2012,17,0,26.5537,1
1,4,2012,18,0,25.1352,1
1,4,2012,19,0,22.1587,1
1,4,2012,20,0,20.6468,1
1,4,2012,21,0,20.1757,1
1,4,2012,22,0,18.188,1
1,4,2012,23,0,17.1562,1
1,5,2012,0,0,16.7803,1
1,5,2012,1,0,14.2435,1
1,5,2012,2,0,12.8353,1
1,5,2012,3,0,13.897,1
1,5,2012,4,0,12.5955,1
1,5,2012,5,0,13.4713,1
1,5,2012,6,0,13.1805,1
1,5,2012,7,0,13.8467,1
1,5,2012,8,0,13.8588,1
1,5,2012,9,0,15.0293,1
1,5,2012,10,0,16.5775,1
1,5,2012,11,0,17.9107,1
1,5,2012,12,0,19.5557,1
1,5,2012,13,0,21.5293,1
1,5,2012,14,0,23.172,1
1,5,2012,15,0,24.013,1
1,5,2012,16,0,24.9493,1
1,5,2012,17,0,24.4403,1
1,5,2012,18,0,22.689,1
1,5,2012,19,0,19.7093,1
1,5,2012,20,0,17.953,1
1,5,2012,21,0,17.3335,1
1,5,2012,22,0,15.841,1
1,5,2012,23,0,15.4048,1
1,6,2012,0,0,14.3978,1
1,6,2012,1,0,12.6952,1
1,6,2012,2,0,11.6792,1
1,6,2012,3,0,12.095,1
1,6,2012,4,0,11.784,1
1,6,2012,5,0,10.7443,1
1,6,2012,6,0,10.3103,1
1,6,2012,7,0,10.8912,1
1,6,2012,8,0,10.608,1
1,6,2012,9,0,11.665,1
1,6,2012,10,0,13.4847,1
1,6,2012,11,0,15.3037,1
1,6,2012,12,0,17.6305,1
1,6,2012,13,0,19.8303,1
1,6,2012,14,0,20.7483,1
1,6,2012,15,0,22.2265,1
1,6,2012,16,0,22.7388,1
1,6,2012,17,0,23.1113,1
1,6,2012,18,0,21.4678,1
1,6,2012,19,0,19.2827,1
1,6,2012,20,0,17.5905,1
1,6,2012,21,0,16.4163,1
1,6,2012,22,0,15.525,1
1,6,2012,23,0,13.8827,1
1,7,2012,0,0,13.5303,1
1,7,2012,1,0,12.3127,1
1,7,2012,2,0,11.6943,1
1,7,2012,3,0,10.631,1
1,7,2012,4,0,9.8297,1
1,7,2012,5,0,9.785,1
1,7,2012,6,0,9.2813,1
1,7,2012,7,0,8.9502,1
1,7,2012,8,0,8.7558,1
1,7,2012,9,0,10.5385,1
1,7,2012,10,0,12.2958,1
1,7,2012,11,0,14.4877,1
1,7,2012,12,0,16.5303,1
1,7,2012,13,0,19.0212,1
1,7,2012,14,0,19.8753,1
1,7,2012,15,0,21.6795,1
1,7,2012,16,0,21.8262,1
1,7,2012,17,0,21.4538,1
1,7,2012,18,0,20.0957,1
1,7,2012,19,0,18.4688,1
1,7,2012,20,0,16.5467,1
1,7,2012,21,0,16.1402,1
1,7,2012,22,0,14.835,1
1,7,2012,23,0,13.893,1
1,8,2012,0,0,12.4783,1
1,8,2012,1,0,11.8035,1
1,8,2012,2,0,11.119,1
1,8,2012,3,0,10.7635,1
1,8,2012,4,0,10.3808,1
1,8,2012,5,0,10.091,1
1,8,2012,6,0,9.7235,1
1,8,2012,7,0,9.2363,1
1,8,2012,8,0,8.3292,1
1,8,2012,9,0,8.6857,1
1,8,2012,10,0,11.599,1
1,8,2012,11,0,14.6515,1
1,8,2012,12,0,16.4015,1
1,8,2012,13,0,17.2457,1
1,8,2012,14,0,17.8227,1
1,8,2012,15,0,18.6633,1
1,8,2012,16,0,19.0217,1
1,8,2012,17,0,18.5183,1
1,8,2012,18,0,17.4453,1
1,8,2012,19,0,16.2122,1
1,8,2012,20,0,14.5808,1
1,8,2012,21,0,13.6937,1
1,8,2012,22,0,13.468,1
1,8,2012,23,0,11.6688,1
4,1,2012,0,0,25.5062,0
4,1,2012,1,0,24.428,0
4,1,2012,2,0,23.6885,0
4,1,2012,3,0,22.7358,0
4,1,2012,4,0,21.9555,0
4,1,2012,5,0,19.9638,0
4,1,2012,6,0,18.7328,0
4,1,2012,7,0,18.1448,0
4,1,2012,8,0,18.3977,0
4,1,2012,9,0,19.0513,0
4,1,2012,10,0,18.9398,0
4,1,2012,11,0,19.3915,0
4,1,2012,12,0,20.0497,0
